id,format,knob,level,replicate,run,provider,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,marker_overlap,n_tied_labels,tied_labels
pbmc_c0_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,3,1,"[""NK cells""]"
pbmc_c0_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,3,1,"[""NK cells""]"
pbmc_c0_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,3,1,"[""NK cells""]"
pbmc_c0_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,3,1,"[""NK cells""]"
pbmc_c0_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,3,1,"[""NK cells""]"
pbmc_c0_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,3,1,"[""NK cells""]"
pbmc_c0_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,0,none,CD8 T cells,T cells (unspecified),,T cells,,0,0,0,0.0,6,1,"[""T cells (unspecified)""]"
pbmc_c0_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,1,none,CD8 T cells,T cells (unspecified),,T cells,,0,0,0,0.0,6,1,"[""T cells (unspecified)""]"
pbmc_c0_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,2,none,CD8 T cells,T cells (unspecified),,T cells,,0,0,0,0.0,6,1,"[""T cells (unspecified)""]"
pbmc_c0_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,0,none,CD8 T cells,T cells (unspecified),,T cells,,0,0,0,0.0,6,1,"[""T cells (unspecified)""]"
pbmc_c0_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,1,none,CD8 T cells,T cells (unspecified),,T cells,,0,0,0,0.0,6,1,"[""T cells (unspecified)""]"
pbmc_c0_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,2,none,CD8 T cells,T cells (unspecified),,T cells,,0,0,0,0.0,6,1,"[""T cells (unspecified)""]"
pbmc_c0_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,2,1,"[""NK cells""]"
pbmc_c0_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,2,1,"[""NK cells""]"
pbmc_c0_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,2,1,"[""NK cells""]"
pbmc_c0_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,2,1,"[""NK cells""]"
pbmc_c0_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,2,1,"[""NK cells""]"
pbmc_c0_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,2,1,"[""NK cells""]"
pbmc_c0_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,none,CD8 T cells,T cells (unspecified),,Gamma delta T cells,,0,0,0,0.0,1,4,"[""Megakaryocytes"", ""NK cells"", ""T cells (unspecified)"", ""other""]"
pbmc_c0_n_genes_1_r0_symbol,symbol,n_genes,1,0,1,none,CD8 T cells,T cells (unspecified),,Gamma delta T cells,,0,0,0,0.0,1,4,"[""Megakaryocytes"", ""NK cells"", ""T cells (unspecified)"", ""other""]"
pbmc_c0_n_genes_1_r0_symbol,symbol,n_genes,1,0,2,none,CD8 T cells,T cells (unspecified),,Gamma delta T cells,,0,0,0,0.0,1,4,"[""Megakaryocytes"", ""NK cells"", ""T cells (unspecified)"", ""other""]"
pbmc_c0_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,none,CD8 T cells,T cells (unspecified),,Gamma delta T cells,,0,0,0,0.0,1,4,"[""Megakaryocytes"", ""NK cells"", ""T cells (unspecified)"", ""other""]"
pbmc_c0_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,1,none,CD8 T cells,T cells (unspecified),,Gamma delta T cells,,0,0,0,0.0,1,4,"[""Megakaryocytes"", ""NK cells"", ""T cells (unspecified)"", ""other""]"
pbmc_c0_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,2,none,CD8 T cells,T cells (unspecified),,Gamma delta T cells,,0,0,0,0.0,1,4,"[""Megakaryocytes"", ""NK cells"", ""T cells (unspecified)"", ""other""]"
pbmc_c0_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,2,2,"[""NK cells"", ""T cells (unspecified)""]"
pbmc_c0_n_genes_3_r0_symbol,symbol,n_genes,3,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,2,2,"[""NK cells"", ""T cells (unspecified)""]"
pbmc_c0_n_genes_3_r0_symbol,symbol,n_genes,3,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,2,2,"[""NK cells"", ""T cells (unspecified)""]"
pbmc_c0_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,2,2,"[""NK cells"", ""T cells (unspecified)""]"
pbmc_c0_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,2,2,"[""NK cells"", ""T cells (unspecified)""]"
pbmc_c0_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,2,2,"[""NK cells"", ""T cells (unspecified)""]"
pbmc_c0_n_genes_5_r0_symbol,symbol,n_genes,5,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,4,1,"[""NK cells""]"
pbmc_c0_n_genes_5_r0_symbol,symbol,n_genes,5,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,4,1,"[""NK cells""]"
pbmc_c0_n_genes_5_r0_symbol,symbol,n_genes,5,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,4,1,"[""NK cells""]"
pbmc_c0_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,4,1,"[""NK cells""]"
pbmc_c0_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,4,1,"[""NK cells""]"
pbmc_c0_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,4,1,"[""NK cells""]"
pbmc_c0_n_genes_10_r0_symbol,symbol,n_genes,10,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_n_genes_10_r0_symbol,symbol,n_genes,10,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_n_genes_10_r0_symbol,symbol,n_genes,10,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_noise_0_r0_symbol,symbol,noise,0,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_noise_0_r0_symbol,symbol,noise,0,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_noise_0_r0_symbol,symbol,noise,0,0,2,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_noise_0_r0_ensembl,ensembl,noise,0,0,0,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
pbmc_c0_noise_0_r0_ensembl,ensembl,noise,0,0,1,none,CD8 T cells,NK cells,,NK cells,,0,0,0,0.0,6,1,"[""NK cells""]"
