cluster,rank,gene,ensembl
0,1,CCL5,ENSG00000161570
0,2,NKG7,ENSG00000105374
0,3,B2M,ENSG00000166710
0,4,IL32,ENSG00000008517
0,5,CST7,ENSG00000077984
0,6,GZMA,ENSG00000145649
0,7,HLA-C,ENSG00000204525
0,8,CTSW,ENSG00000172543
0,9,HLA-A,ENSG00000206503
0,10,CD3D,ENSG00000167286
1,1,RPS12,ENSG00000112306
1,2,LDHB,ENSG00000111716
1,3,RPS25,ENSG00000118181
1,4,RPS27,ENSG00000177954
1,5,RPS6,ENSG00000137154
1,6,RPS3,ENSG00000149273
1,7,RPS14,ENSG00000164587
1,8,RPL31,ENSG00000071082
1,9,RPL32,ENSG00000144713
1,10,RPL3,ENSG00000100316
2,1,CD74,ENSG00000019582
2,2,CD79A,ENSG00000105369
2,3,HLA-DRA,ENSG00000204287
2,4,CD79B,ENSG00000007312
2,5,HLA-DPB1,ENSG00000223865
2,6,MS4A1,ENSG00000156738
2,7,HLA-DQA1,ENSG00000196735
2,8,CD37,ENSG00000104894
2,9,HLA-DRB1,ENSG00000196126
2,10,HLA-DQB1,ENSG00000179344
3,1,LYZ,ENSG00000090382
3,2,S100A9,ENSG00000163220
3,3,S100A8,ENSG00000143546
3,4,TYROBP,ENSG00000011600
3,5,FTL,ENSG00000087086
3,6,FCN1,ENSG00000085265
3,7,CST3,ENSG00000101439
3,8,S100A6,ENSG00000197956
3,9,FTH1,ENSG00000167996
3,10,LGALS2,ENSG00000100079
4,1,NKG7,ENSG00000105374
4,2,GNLY,ENSG00000115523
4,3,GZMB,ENSG00000100453
4,4,CTSW,ENSG00000172543
4,5,PRF1,ENSG00000180644
4,6,GZMA,ENSG00000145649
4,7,CST7,ENSG00000077984
4,8,HLA-C,ENSG00000204525
4,9,B2M,ENSG00000166710
4,10,FGFBP2,ENSG00000137441
5,1,LST1,ENSG00000204482
5,2,FCER1G,ENSG00000158869
5,3,AIF1,ENSG00000204472
5,4,COTL1,ENSG00000103187
5,5,FCGR3A,ENSG00000203747
5,6,FTH1,ENSG00000167996
5,7,IFITM2,ENSG00000185201
5,8,IFITM3,ENSG00000142089
5,9,SAT1,ENSG00000130066
5,10,PSAP,ENSG00000197746
6,1,HLA-DPA1,ENSG00000231389
6,2,HLA-DPB1,ENSG00000223865
6,3,HLA-DRA,ENSG00000204287
6,4,HLA-DRB1,ENSG00000196126
6,5,CD74,ENSG00000019582
6,6,HLA-DQA1,ENSG00000196735
6,7,CST3,ENSG00000101439
6,8,FCER1A,ENSG00000179639
6,9,HLA-DRB5,ENSG00000198502
6,10,HLA-DMA,ENSG00000204257
7,1,PF4,ENSG00000163737
7,2,SDPR,ENSG00000168497
7,3,GNG11,ENSG00000127920
7,4,PPBP,ENSG00000163736
7,5,NRGN,ENSG00000154146
7,6,GPX1,ENSG00000233276
7,7,SPARC,ENSG00000113140
7,8,TPM4,ENSG00000167460
7,9,RGS18,ENSG00000150681
7,10,CALM3,ENSG00000160014
