model,id,format,knob,level,replicate,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,run,normalized,score,strict,vague
claude-sonnet-5,pbmc_c0_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,CD8 T cells,Cytotoxic T cell (CD8+ / NK-like T cell),0.75,"```json
{""cell_type"": ""Cytotoxic T cell (CD8+ / NK-like T cell)"", ""confidence"": 0.75}
```",end_turn,112,51,,0.000734,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,CD8 T cells,CD8+ effector/memory T cell (GZMK+ cytotoxic T cell),0.85,"```json
{""cell_type"": ""CD8+ effector/memory T cell (GZMK+ cytotoxic T cell)"", ""confidence"": 0.85}
```",end_turn,117,56,,0.000794,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,CD8 T cells,CD8+ cytotoxic T cell,0.85,"{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.85}",end_turn,114,35,,0.000578,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,CD8 T cells,CD8+ cytotoxic T cell (effector/memory),0.85,"```json
{""cell_type"": ""CD8+ cytotoxic T cell (effector/memory)"", ""confidence"": 0.85}
```

**Reasoning:** The marker set includes CD3D (T-cell receptor complex, confirms T-cell lineage), along with classic cytotoxic effector molecules GZMA, NKG7, CST7, CTSW, and CCL5 - all hallmark genes of cytotoxic/effector T cells (and shared with NK cells). The presence of CD3D specifically points to T cells rather than NK cells. IL32, B2M, HLA-A/C are also consistent with activated T lymphocytes.",end_turn,153,463,,0.004936,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,CD8 T cells,CD8+ cytotoxic/effector memory T cell,0.85,"```json
{""cell_type"": ""CD8+ cytotoxic/effector memory T cell"", ""confidence"": 0.85}
```",end_turn,153,287,,0.003176,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,CD8 T cells,T cell (likely CD4+/CD8+ memory T lymphocyte),0.65,"```json
{""cell_type"": ""T cell (likely CD4+/CD8+ memory T lymphocyte)"", ""confidence"": 0.65}
```",end_turn,122,52,,0.000764,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,CD8 T cells,CD8+ cytotoxic T cell,0.9,"{""cell_type"": ""CD8+ cytotoxic T cell"", ""confidence"": 0.9}",end_turn,153,308,,0.003386,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_n_genes_1_r0_symbol,symbol,n_genes,1,0,CD8 T cells,T cell / NK cell (cytotoxic lymphocyte),0.4,"```json
{""cell_type"": ""T cell / NK cell (cytotoxic lymphocyte)"", ""confidence"": 0.4}
```",end_turn,68,48,,0.000616,0,NK cells,0.0,0.0,0.0
claude-sonnet-5,pbmc_c0_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,CD8 T cells,"T cell (likely CD4+ T cell, based on CCL5/chemokine-related gene expression pattern)",0.3,"{""cell_type"": ""T cell (likely CD4+ T cell, based on CCL5/chemokine-related gene expression pattern)"", ""confidence"": 0.3}",end_turn,72,57,,0.000714,0,CD4 T cells,0.0,0.0,0.0
claude-sonnet-5,pbmc_c0_n_genes_3_r0_symbol,symbol,n_genes,3,0,CD8 T cells,Cytotoxic T cell / NK cell (CD8+ T/NK lymphocyte),0.6,"{""cell_type"": ""Cytotoxic T cell / NK cell (CD8+ T/NK lymphocyte)"", ""confidence"": 0.6}",end_turn,77,53,,0.000684,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,CD8 T cells,NK cell (or cytotoxic T lymphocyte),0.7,"{""cell_type"": ""NK cell (or cytotoxic T lymphocyte)"", ""confidence"": 0.7}",end_turn,90,186,,0.00204,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_n_genes_5_r0_symbol,symbol,n_genes,5,0,CD8 T cells,Cytotoxic T cell (CD8+ T cell) / NK cell,0.7,"{""cell_type"": ""Cytotoxic T cell (CD8+ T cell) / NK cell"", ""confidence"": 0.7}",end_turn,85,87,,0.00104,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_n_genes_10_r0_symbol,symbol,n_genes,10,0,CD8 T cells,Cytotoxic T cell (CD8+ / NK-like T cell),0.75,"{""cell_type"": ""Cytotoxic T cell (CD8+ / NK-like T cell)"", ""confidence"": 0.75}",end_turn,112,46,,0.000684,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,CD8 T cells,T cell (likely CD4+ or CD8+ effector/memory T lymphocyte),0.55,"```json
{""cell_type"": ""T cell (likely CD4+ or CD8+ effector/memory T lymphocyte)"", ""confidence"": 0.55}
```",end_turn,153,936,,0.009666,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,CD8 T cells,NK cell / cytotoxic T lymphocyte (CD8+ effector/cytotoxic lymphocyte),0.75,"{""cell_type"": ""NK cell / cytotoxic T lymphocyte (CD8+ effector/cytotoxic lymphocyte)"", ""confidence"": 0.75}",end_turn,108,223,,0.002446,0,CD8 T cells,1.0,1.0,0.0
claude-sonnet-5,pbmc_c0_noise_0_r0_symbol,symbol,noise,0,0,CD8 T cells,Cytotoxic T cell (CD8+ T cell / NK-like T cell),0.75,"```json
{""cell_type"": ""Cytotoxic T cell (CD8+ T cell / NK-like T cell)"", ""confidence"": 0.75}
```",end_turn,112,54,,0.000764,0,CD8 T cells,1.0,1.0,0.0
