id,format,knob,level,replicate,run,provider,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,marker_overlap,n_tied_labels,tied_labels
hao_cASDC_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,none,ASDC,pDC,,Plasmacytoid dendritic cells,,0,0,0,0.0,2,1,"[""pDC""]"
hao_cASDC_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,none,ASDC,pDC,,Plasmacytoid dendritic cells,,0,0,0,0.0,2,1,"[""pDC""]"
hao_cASDC_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,none,ASDC,pDC,,Plasmacytoid dendritic cells,,0,0,0,0.0,2,1,"[""pDC""]"
hao_cASDC_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,none,ASDC,pDC,,Plasmacytoid dendritic cells,,0,0,0,0.0,2,1,"[""pDC""]"
hao_cASDC_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cells,,0,0,0,0.0,1,3,"[""Dendritic cell (subtype unclear)"", ""Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"", ""Platelet""]"
hao_cASDC_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cells,,0,0,0,0.0,1,3,"[""Dendritic cell (subtype unclear)"", ""Not found in PBMCs (e.g. neutrophil, eosinophil, endothelial, epithelial)"", ""Platelet""]"
hao_cASDC_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cells,,0,0,0,0.0,2,1,"[""Dendritic cell (subtype unclear)""]"
hao_cASDC_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cells,,0,0,0,0.0,2,1,"[""Dendritic cell (subtype unclear)""]"
hao_cASDC_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,none,ASDC,Unknown / low-quality / no cell type given,,no overlap,,0,0,0,0.0,0,1,"[""Unknown / low-quality / no cell type given""]"
hao_cASDC_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,none,ASDC,Unknown / low-quality / no cell type given,,no overlap,,0,0,0,0.0,0,1,"[""Unknown / low-quality / no cell type given""]"
hao_cASDC_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,none,ASDC,Unknown / low-quality / no cell type given,,no overlap,,0,0,0,0.0,0,1,"[""Unknown / low-quality / no cell type given""]"
hao_cASDC_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,none,ASDC,Unknown / low-quality / no cell type given,,no overlap,,0,0,0,0.0,0,1,"[""Unknown / low-quality / no cell type given""]"
