cellmarker_cell_name,hao_label
AXL+ SIGLEC6+ dendritic cell,ASDC
Transitional dendritic cell,ASDC
Activated B cell,B cell (subtype unclear)
Atypical B cell,B cell (subtype unclear)
Atypical memory B cell,B cell (subtype unclear)
B cell,B cell (subtype unclear)
Cycling B cell,B cell (subtype unclear)
Double-negative B cell,B cell (subtype unclear)
Immature B cell,B cell (subtype unclear)
Marginal zone -like B cell,B cell (subtype unclear)
Mature B cell,B cell (subtype unclear)
Proliferative B cell,B cell (subtype unclear)
Regulatory B cell,B cell (subtype unclear)
Transitional B cell,B cell (subtype unclear)
Intermediate B cell,B intermediate
Class-switched memory B cell,B memory
IgM memory B cell,B memory
Memory B cell,B memory
Non-switched memory B cell,B memory
Resting memory B cell,B memory
Switched memory B cell,B memory
Unswitched memory B cell,B memory
Naive B cell,B naive
CD14 monocyte,CD14 Mono
CD14+ monocyte,CD14 Mono
Classical monocyte,CD14 Mono
Inflammatory monocyte,CD14 Mono
CD16 monocyte,CD16 Mono
CD16+ monocyte,CD16 Mono
Non classical monocyte,CD16 Mono
Non-classical monocyte,CD16 Mono
Nonclassical monocyte,CD16 Mono
Cytotoxic CD4+ T cell,CD4 CTL
Naive CD4 T cell,CD4 Naive
Naive CD4+ T cell,CD4 Naive
Proliferative CD4+ T cell,CD4 Proliferating
Activated CD4+ T cell,CD4 T cell (subtype unclear)
CD4 T cell,CD4 T cell (subtype unclear)
CD4+ T cell,CD4 T cell (subtype unclear)
CD4+ T helper cell,CD4 T cell (subtype unclear)
Helper T cell,CD4 T cell (subtype unclear)
Memory CD4 T cell,CD4 T cell (subtype unclear)
Memory CD4+ T cell,CD4 T cell (subtype unclear)
T follicular helper cell,CD4 T cell (subtype unclear)
T helper 1 cell,CD4 T cell (subtype unclear)
T helper 17 cell,CD4 T cell (subtype unclear)
T helper 2 cell,CD4 T cell (subtype unclear)
T helper cell,CD4 T cell (subtype unclear)
T helper1 cell,CD4 T cell (subtype unclear)
T helper17 cell,CD4 T cell (subtype unclear)
T helper2 cell,CD4 T cell (subtype unclear)
Central memory CD4+ T cell,CD4 TCM
Effector CD4+ T cell,CD4 TEM
Effector memory CD4+ T cell,CD4 TEM
Naive CD8 T cell,CD8 Naive
Naive CD8+ T cell,CD8 Naive
Proliferative CD8+ T cell,CD8 Proliferating
Activated CD8+ T cell,CD8 T cell (subtype unclear)
CD8 T cell,CD8 T cell (subtype unclear)
CD8+ T cell,CD8 T cell (subtype unclear)
