n,model,id,answer
1,gpt-5.6-terra,hao_cNK-CD56bright_rank_window_11-20_r0_ensembl,NK_CD56bright
2,claude-sonnet-5,hao_cPlatelet_rank_window_21-30_r0_ensembl,Platelet
3,claude-sonnet-5,hao_cCD4-TEM_n_genes_10_r0_ensembl,CD4 TEM
4,claude-sonnet-5,hao_cNK-Proliferating_rank_window_11-20_r0_symbol,NK Proliferating
5,claude-sonnet-5,hao_cCD4-TEM_rank_window_31-40_r0_symbol,CD4 TEM
6,claude-sonnet-5,hao_cCD4-CTL_rank_window_31-40_r0_ensembl,CD4 CTL
7,gemini-3.8-flash,hao_cEryth_n_genes_3_r0_symbol,Eryth
8,gpt-5.6-terra,hao_cCD14-Mono_ribo_filter_on_r0_symbol,CD14 Mono
9,claude-sonnet-5,hao_cMAIT_rank_window_1-10_r0_ensembl,MAIT
10,gpt-5.6-terra,hao_cMAIT_rank_window_21-30_r0_ensembl,MAIT
11,gemini-3.8-flash,hao_cCD4-CTL_n_genes_10_r0_symbol,CD4 CTL
12,gpt-5.6-terra,hao_cCD8-Naive_n_genes_10_r0_symbol,CD8 Naive
13,gpt-5.6-terra,hao_cdnT_ribo_filter_off_r0_symbol,dnT
14,gpt-5.6-terra,hao_cgdT_n_genes_5_r0_symbol,gdT
15,claude-sonnet-5,hao_cTreg_n_genes_1_r0_ensembl,Treg
16,gpt-5.6-terra,hao_cCD8-TEM_n_genes_10_r0_symbol,CD8 TEM
17,gemini-3.8-flash,hao_cNK-Proliferating_rank_window_1-10_r0_symbol,NK Proliferating
18,gpt-5.6-terra,hao_ccDC2_rank_window_1-10_r0_symbol,cDC2
19,claude-sonnet-5,hao_cCD4-CTL_rank_window_11-20_r0_symbol,CD4 CTL
20,claude-sonnet-5,hao_cCD8-TEM_rank_window_21-30_r0_ensembl,CD8 TEM
21,claude-sonnet-5,hao_ccDC1_n_genes_1_r0_ensembl,cDC1
22,gpt-5.6-terra,hao_cCD4-Naive_rank_window_31-40_r0_ensembl,CD4 Naive
23,gemini-3.8-flash,hao_cCD4-Naive_rank_window_31-40_r0_symbol,CD4 Naive
24,claude-sonnet-5,hao_cCD14-Mono_rank_window_31-40_r0_ensembl,CD14 Mono
25,gemini-3.8-flash,hao_cCD4-TEM_n_genes_10_r0_ensembl,CD4 TEM
26,gemini-3.8-flash,hao_cCD4-CTL_rank_window_1-10_r0_symbol,CD4 CTL
27,gpt-5.6-terra,hao_cCD4-CTL_rank_window_31-40_r0_symbol,CD4 CTL
28,gpt-5.6-terra,hao_cCD8-TEM_n_genes_3_r0_symbol,CD8 TEM
29,claude-sonnet-5,hao_cCD4-TEM_rank_window_11-20_r0_symbol,CD4 TEM
30,claude-sonnet-5,hao_cNK-Proliferating_ribo_filter_off_r0_symbol,NK Proliferating
