cluster,rank,gene,ensembl
ASDC,1,PPP1R14A,ENSG00000167641
ASDC,2,SAMHD1,ENSG00000101347
ASDC,3,S100A10,ENSG00000197747
ASDC,4,PLD4,ENSG00000166428
ASDC,5,CST3,ENSG00000101439
ASDC,6,FCGRT,ENSG00000104870
ASDC,7,VIM,ENSG00000026025
ASDC,8,PTPRE,ENSG00000132334
ASDC,9,LILRA4,ENSG00000239961
ASDC,10,IRF8,ENSG00000140968
ASDC,11,TCF4,ENSG00000196628
ASDC,12,CYBA,ENSG00000051523
ASDC,13,RNASE6,ENSG00000169413
ASDC,14,APP,ENSG00000142192
ASDC,15,IL3RA,ENSG00000185291
ASDC,16,TGFBI,ENSG00000120708
ASDC,17,CTSZ,ENSG00000101160
ASDC,18,ANXA2,ENSG00000182718
ASDC,19,RAC1,ENSG00000136238
ASDC,20,CCDC50,ENSG00000152492
ASDC,21,HLA-DPA1,ENSG00000231389
ASDC,22,PLP2,ENSG00000102007
ASDC,23,AXL,ENSG00000167601
ASDC,24,CCDC88A,ENSG00000115355
ASDC,25,SCN9A,ENSG00000169432
ASDC,26,ALDH2,ENSG00000111275
ASDC,27,DAB2,ENSG00000153071
ASDC,28,LGMN,ENSG00000100600
ASDC,29,SOX4,ENSG00000124766
ASDC,30,CTSH,ENSG00000103811
ASDC,31,CD74,ENSG00000019582
ASDC,32,OTULINL,ENSG00000145569
ASDC,33,DPYSL2,ENSG00000092964
ASDC,34,HLA-DMA,ENSG00000204257
ASDC,35,HLA-DPB1,ENSG00000223865
ASDC,36,ALOX5AP,ENSG00000132965
ASDC,37,JAML,ENSG00000160593
ASDC,38,ITM2C,ENSG00000135916
ASDC,39,ACTG1,ENSG00000184009
ASDC,40,IRF4,ENSG00000137265
ASDC,41,HLA-DMB,ENSG00000242574
ASDC,42,C12orf75,ENSG00000235162
ASDC,43,RAB11FIP1,ENSG00000156675
ASDC,44,CYB561A3,ENSG00000162144
ASDC,45,UGCG,ENSG00000148154
ASDC,46,CYRIB,ENSG00000153310
ASDC,47,SPIB,ENSG00000269404
ASDC,48,HLA-DRA,ENSG00000204287
ASDC,49,S100A6,ENSG00000197956
ASDC,50,SULF2,ENSG00000196562
B intermediate,1,MS4A1,ENSG00000156738
B intermediate,2,RALGPS2,ENSG00000116191
B intermediate,3,BANK1,ENSG00000153064
B intermediate,4,CD79A,ENSG00000105369
B intermediate,5,CD37,ENSG00000104894
B intermediate,6,CD79B,ENSG00000007312
B intermediate,7,IGHM,ENSG00000211899
B intermediate,8,TNFRSF13C,ENSG00000159958
B intermediate,9,HLA-DQB1,ENSG00000179344
B intermediate,10,HLA-DRA,ENSG00000204287
B intermediate,11,HLA-DPB1,ENSG00000223865
B intermediate,12,CD74,ENSG00000019582
B intermediate,13,HLA-DQA1,ENSG00000196735
B intermediate,14,SWAP70,ENSG00000133789
B intermediate,15,LINC00926,ENSG00000247982
B intermediate,16,CD22,ENSG00000012124
B intermediate,17,HLA-DPA1,ENSG00000231389
B intermediate,18,ARHGAP24,ENSG00000138639
B intermediate,19,HLA-DRB1,ENSG00000196126
B intermediate,20,MARCHF1,ENSG00000145416
B intermediate,21,IGHD,ENSG00000211898
B intermediate,22,POU2F2,ENSG00000028277
B intermediate,23,RPS11,ENSG00000142534
B intermediate,24,TCF4,ENSG00000196628
B intermediate,25,HLA-DMB,ENSG00000242574
B intermediate,26,PAX5,ENSG00000196092
B intermediate,27,HLA-DRB5,ENSG00000198502
B intermediate,28,BLK,ENSG00000136573
B intermediate,29,AFF3,ENSG00000144218
