condition,id,format,knob,level,replicate,run,provider,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,marker_overlap,n_tied_labels,tied_labels,n_tool_calls,n_model_calls,latency_s,normalized,score,strict,lineage
plain Claude,hao_cASDC_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,136,40,,0.000672,,,,,,,pDC,0.5,0.0,DC
plain Claude,hao_cASDC_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.85,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.85}",end_turn,134,40,,0.000668,,,,,,,pDC,0.5,0.0,DC
plain Claude,hao_cASDC_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,anthropic,ASDC,Plasmacytoid dendritic cells (pDCs),0.75,"{""cell_type"": ""Plasmacytoid dendritic cells (pDCs)"", ""confidence"": 0.75}",end_turn,170,349,,0.00383,,,,,,,pDC,0.5,0.0,DC
plain Claude,hao_cASDC_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.65,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.65}",end_turn,170,653,,0.00687,,,,,,,pDC,0.5,0.0,DC
plain Claude,hao_cASDC_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,anthropic,ASDC,Dendritic cell (conventional/myeloid DC),0.65,"```json
{""cell_type"": ""Dendritic cell (conventional/myeloid DC)"", ""confidence"": 0.65}
```",end_turn,143,45,,0.000736,,,,,,,Dendritic cell (subtype unclear),0.5,0.0,DC
plain Claude,hao_cASDC_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,0,anthropic,ASDC,"AXL+ SIGLEC6+ dendritic cells (AS DCs, a rare transitional DC subset)",0.7,"{""cell_type"": ""AXL+ SIGLEC6+ dendritic cells (AS DCs, a rare transitional DC subset)"", ""confidence"": 0.7}",end_turn,137,217,,0.002444,,,,,,,ASDC,1.0,1.0,DC
plain Claude,hao_cASDC_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,anthropic,ASDC,Plasmacytoid dendritic cell,0.45,"```json
{""cell_type"": ""Plasmacytoid dendritic cell"", ""confidence"": 0.45}
```",end_turn,88,40,,0.000576,,,,,,,pDC,0.5,0.0,DC
plain Claude,hao_cASDC_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,anthropic,ASDC,Monocyte,0.3,"{""cell_type"": ""Monocyte"", ""confidence"": 0.3}",end_turn,89,26,,0.000438,,,,,,,Monocyte (subtype unclear),0.0,0.0,DC
plain Claude,hao_cASDC_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,0,anthropic,ASDC,AXL+ SIGLEC6+ transitional dendritic cells (pre-DC/AS-DC subset),0.6,"```json
{""cell_type"": ""AXL+ SIGLEC6+ transitional dendritic cells (pre-DC/AS-DC subset)"", ""confidence"": 0.6}
```",end_turn,170,506,,0.0054,,,,,,,ASDC,1.0,1.0,DC
plain Claude,hao_cASDC_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,anthropic,ASDC,Plasmacytoid dendritic cells,0.55,"{""cell_type"": ""Plasmacytoid dendritic cells"", ""confidence"": 0.55}",end_turn,100,35,,0.00055,,,,,,,pDC,0.5,0.0,DC
plain Claude,hao_cASDC_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,anthropic,ASDC,Dendritic cells (conventional/myeloid DCs),0.7,"{""cell_type"": ""Dendritic cells (conventional/myeloid DCs)"", ""confidence"": 0.7}",end_turn,170,548,,0.00582,,,,,,,Dendritic cell (subtype unclear),0.5,0.0,DC
plain Claude,hao_cASDC_n_genes_5_r0_symbol,symbol,n_genes,5,0,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.65,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.65}",end_turn,109,40,,0.000618,,,,,,,pDC,0.5,0.0,DC
plain Claude,hao_cASDC_n_genes_10_r0_symbol,symbol,n_genes,10,0,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,136,40,,0.000672,,,,,,,pDC,0.5,0.0,DC
plain Claude,hao_cASDC_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,0,anthropic,ASDC,Monocytes (CD14+ classical monocytes),0.75,"{""cell_type"": ""Monocytes (CD14+ classical monocytes)"", ""confidence"": 0.75}",end_turn,125,431,,0.00456,,,,,,,CD14 Mono,0.0,0.0,DC
