gene,ensembl
AL627309.1,ENSG00000237683
AP006222.2,ENSG00000228463
RP11-206L10.2,ENSG00000228327
RP11-206L10.9,ENSG00000237491
LINC00115,ENSG00000225880
NOC2L,ENSG00000188976
KLHL17,ENSG00000187961
PLEKHN1,ENSG00000187583
RP11-54O7.17,ENSG00000272512
HES4,ENSG00000188290
RP11-54O7.11,ENSG00000224969
ISG15,ENSG00000187608
AGRN,ENSG00000188157
C1orf159,ENSG00000131591
TNFRSF18,ENSG00000186891
TNFRSF4,ENSG00000186827
SDF4,ENSG00000078808
B3GALT6,ENSG00000176022
FAM132A,ENSG00000184163
UBE2J2,ENSG00000160087
ACAP3,ENSG00000131584
PUSL1,ENSG00000169972
CPSF3L,ENSG00000127054
GLTPD1,ENSG00000224051
DVL1,ENSG00000107404
MXRA8,ENSG00000162576
AURKAIP1,ENSG00000175756
CCNL2,ENSG00000221978
RP4-758J18.2,ENSG00000224870
MRPL20,ENSG00000242485
ATAD3C,ENSG00000215915
ATAD3B,ENSG00000160072
ATAD3A,ENSG00000197785
SSU72,ENSG00000160075
AL645728.1,ENSG00000215014
C1orf233,ENSG00000228594
RP11-345P4.9,ENSG00000272106
MIB2,ENSG00000197530
MMP23B,ENSG00000189409
CDK11B,ENSG00000248333
SLC35E2B,ENSG00000189339
CDK11A,ENSG00000008128
SLC35E2,ENSG00000215790
NADK,ENSG00000008130
GNB1,ENSG00000078369
RP1-140A9.1,ENSG00000231050
TMEM52,ENSG00000178821
PRKCZ,ENSG00000067606
RP5-892K4.1,ENSG00000271806
C1orf86,ENSG00000162585
AL590822.2,ENSG00000269554
SKI,ENSG00000157933
RER1,ENSG00000157916
PEX10,ENSG00000157911
PLCH2,ENSG00000149527
PANK4,ENSG00000157881
RP3-395M20.12,ENSG00000272449
TNFRSF14,ENSG00000157873
RP3-395M20.9,ENSG00000228037
FAM213B,ENSG00000157870
MMEL1,ENSG00000142606
TTC34,ENSG00000215912
MEGF6,ENSG00000162591
TPRG1L,ENSG00000158109
WRAP73,ENSG00000116213
TP73-AS1,ENSG00000227372
SMIM1,ENSG00000235169
LRRC47,ENSG00000130764
CEP104,ENSG00000116198
DFFB,ENSG00000169598
C1orf174,ENSG00000198912
NPHP4,ENSG00000131697
KCNAB2,ENSG00000069424
RPL22,ENSG00000116251
RNF207,ENSG00000158286
ICMT,ENSG00000116237
GPR153,ENSG00000158292
ACOT7,ENSG00000097021
RP1-202O8.3,ENSG00000271746
ESPN,ENSG00000187017
TNFRSF25,ENSG00000215788
PLEKHG5,ENSG00000171680
NOL9,ENSG00000162408
ZBTB48,ENSG00000204859
KLHL21,ENSG00000162413
PHF13,ENSG00000116273
THAP3,ENSG00000041988
DNAJC11,ENSG00000007923
RP11-312B8.1,ENSG00000237436
CAMTA1,ENSG00000171735
VAMP3,ENSG00000049245
PER3,ENSG00000049246
UTS2,ENSG00000049247
TNFRSF9,ENSG00000049249
PARK7,ENSG00000116288
SLC45A1,ENSG00000162426
RERE,ENSG00000142599
RP5-1115A15.1,ENSG00000232912
ENO1,ENSG00000074800
ENO1-AS1,ENSG00000230679
CA6,ENSG00000131686
SLC2A5,ENSG00000142583
GPR157,ENSG00000180758
H6PD,ENSG00000049239
SPSB1,ENSG00000171621
SLC25A33,ENSG00000171612
TMEM201,ENSG00000188807
PIK3CD,ENSG00000171608
C1orf200,ENSG00000179840
RP11-558F24.4,ENSG00000231789
CLSTN1,ENSG00000171603
CTNNBIP1,ENSG00000178585
LZIC,ENSG00000162441
NMNAT1,ENSG00000173614
RBP7,ENSG00000162444
UBE4B,ENSG00000130939
KIF1B,ENSG00000054523
PGD,ENSG00000142657
APITD1,ENSG00000175279
DFFA,ENSG00000160049
PEX14,ENSG00000142655
CASZ1,ENSG00000130940
TARDBP,ENSG00000120948
RP4-635E18.8,ENSG00000271895
SRM,ENSG00000116649
EXOSC10,ENSG00000171824
MTOR,ENSG00000198793
UBIAD1,ENSG00000120942
FBXO2,ENSG00000116661
FBXO44,ENSG00000132879
FBXO6,ENSG00000116663
MAD2L2,ENSG00000116670
DRAXIN,ENSG00000162490
AGTRAP,ENSG00000177674
MTHFR,ENSG00000177000
CLCN6,ENSG00000011021
NPPA-AS1,ENSG00000242349
KIAA2013,ENSG00000116685
PLOD1,ENSG00000083444
MFN2,ENSG00000116688
MIIP,ENSG00000116691
TNFRSF8,ENSG00000120949
TNFRSF1B,ENSG00000028137
VPS13D,ENSG00000048707
DHRS3,ENSG00000162496
PRDM2,ENSG00000116731
TMEM51,ENSG00000171729
RP3-467K16.4,ENSG00000228140
EFHD2,ENSG00000142634
CASP9,ENSG00000132906
DNAJC16,ENSG00000116138
AGMAT,ENSG00000116771
DDI2,ENSG00000197312
PLEKHM2,ENSG00000116786
FBLIM1,ENSG00000162458
RP11-169K16.9,ENSG00000179743
SPEN,ENSG00000065526
ZBTB17,ENSG00000116809
ARHGEF19,ENSG00000142632
RSG1,ENSG00000132881
FBXO42,ENSG00000037637
SZRD1,ENSG00000055070
SPATA21,ENSG00000187144
NECAP2,ENSG00000157191
RP4-798A10.2,ENSG00000226029
RP4-798A10.7,ENSG00000261135
RP4-798A10.4,ENSG00000224174
NBPF1,ENSG00000219481
CROCCP2,ENSG00000215908
CROCC,ENSG00000058453
RP11-108M9.4,ENSG00000238142
RP11-108M9.6,ENSG00000272426
ATP13A2,ENSG00000159363
SDHB,ENSG00000117118
PADI2,ENSG00000117115
PADI4,ENSG00000159339
RCC2,ENSG00000179051
ARHGEF10L,ENSG00000074964
ALDH4A1,ENSG00000159423
IFFO2,ENSG00000169991
UBR4,ENSG00000127481
RP1-43E13.2,ENSG00000230424
EMC1,ENSG00000127463
MRTO4,ENSG00000053372
AKR7A2,ENSG00000053371
PQLC2,ENSG00000040487
CAPZB,ENSG00000077549
