id,format,knob,level,replicate,run,provider,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,marker_overlap,n_tied_labels,tied_labels
pbmc_c0_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,none,CD8 T cells,NK cells,,Natural killer cell,,0,0,0,0.0,7,1,"[""NK cells""]"
pbmc_c0_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,1,none,CD8 T cells,NK cells,,Natural killer cell,,0,0,0,0.0,7,1,"[""NK cells""]"
pbmc_c0_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,2,none,CD8 T cells,NK cells,,Natural killer cell,,0,0,0,0.0,7,1,"[""NK cells""]"
pbmc_c0_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,none,CD8 T cells,NK cells,,Natural killer cell,,0,0,0,0.0,7,1,"[""NK cells""]"
pbmc_c0_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,1,none,CD8 T cells,NK cells,,Natural killer cell,,0,0,0,0.0,7,1,"[""NK cells""]"
pbmc_c0_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,2,none,CD8 T cells,NK cells,,Natural killer cell,,0,0,0,0.0,7,1,"[""NK cells""]"
pbmc_c0_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,none,CD8 T cells,CD8 T cells,,Memory CD8+ T cell,,0,0,0,0.0,5,1,"[""CD8 T cells""]"
pbmc_c0_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,1,none,CD8 T cells,CD8 T cells,,Memory CD8+ T cell,,0,0,0,0.0,5,1,"[""CD8 T cells""]"
pbmc_c0_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,2,none,CD8 T cells,CD8 T cells,,Memory CD8+ T cell,,0,0,0,0.0,5,1,"[""CD8 T cells""]"
pbmc_c0_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,none,CD8 T cells,CD8 T cells,,Memory CD8+ T cell,,0,0,0,0.0,5,1,"[""CD8 T cells""]"
