cluster,cell_type,l1,n_cells,n_cells_total
ASDC,ASDC,DC,76,76
B intermediate,B intermediate,B,500,2431
B memory,B memory,B,500,3285
B naive,B naive,B,500,7718
CD4 CTL,CD4 CTL,CD4 T,500,1736
CD4 Naive,CD4 Naive,CD4 T,500,17479
CD4 Proliferating,CD4 Proliferating,CD4 T,108,108
CD4 TCM,CD4 TCM,CD4 T,500,14889
CD4 TEM,CD4 TEM,CD4 T,500,4282
CD8 Naive,CD8 Naive,CD8 T,500,10768
CD8 Proliferating,CD8 Proliferating,CD8 T,91,91
CD8 TCM,CD8 TCM,CD8 T,500,2883
CD8 TEM,CD8 TEM,CD8 T,500,11727
CD14 Mono,CD14 Mono,Mono,500,42690
CD16 Mono,CD16 Mono,Mono,500,6320
Eryth,Eryth,other,83,83
HSPC,HSPC,other,329,329
ILC,ILC,other,132,132
MAIT,MAIT,other T,500,2784
NK,NK,NK,500,17173
NK Proliferating,NK Proliferating,NK,500,548
NK_CD56bright,NK_CD56bright,NK,500,943
Plasmablast,Plasmablast,B,366,366
Platelet,Platelet,other,500,2293
Treg,Treg,CD4 T,500,2507
cDC1,cDC1,DC,151,151
cDC2,cDC2,DC,500,2501
dnT,dnT,other T,356,356
gdT,gdT,other T,500,3649
pDC,pDC,DC,500,861
