id,format,knob,level,replicate,run,provider,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,n_tool_calls,n_model_calls,latency_s
hao_cdnT_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,anthropic,dnT,CD8+ memory T cell (GZMK+ effector/central memory CD8 T cell),0.75,"{""cell_type"": ""CD8+ memory T cell (GZMK+ effector/central memory CD8 T cell)"", ""confidence"": 0.75}",ok,577,226,,0.003414,0,1,3.3
hao_cCD4-TCM_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,anthropic,CD4 TCM,"T cell (likely naive CD4+ T cell, based on CD3D and MAL expression with high ribosomal protein genes)",0.75,"{""cell_type"": ""T cell (likely naive CD4+ T cell, based on CD3D and MAL expression with high ribosomal protein genes)"", ""confidence"": 0.75}",ok,617,323,,0.004464,0,1,4.2
hao_cNK-Proliferating_n_genes_5_r0_symbol,symbol,n_genes,5,0,0,anthropic,NK Proliferating,"Proliferating (cycling) lymphocytes, likely proliferating T cells",0.6,"{""cell_type"": ""Proliferating (cycling) lymphocytes, likely proliferating T cells"", ""confidence"": 0.6}",ok,553,162,,0.002726,0,1,2.8
hao_cCD4-TEM_noise_2_r2_ensembl,ensembl,noise,2,2,0,anthropic,CD4 TEM,T cell (CD4+ T lymphocyte),0.75,"{""cell_type"": ""T cell (CD4+ T lymphocyte)"", ""confidence"": 0.75}",ok,4088,505,,0.013226,2,2,10.3
hao_cMAIT_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,anthropic,MAIT,"CD8+ effector/memory T cells (GZMK+ subset, possibly MAIT-like)",0.6,"{""cell_type"": ""CD8+ effector/memory T cells (GZMK+ subset, possibly MAIT-like)"", ""confidence"": 0.6}",ok,585,246,,0.00363,0,1,3.4
hao_cdnT_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,anthropic,dnT,CD8+ memory T cell (GZMK+ effector/central memory T lymphocyte),0.75,"{""cell_type"": ""CD8+ memory T cell (GZMK+ effector/central memory T lymphocyte)"", ""confidence"": 0.75}",ok,617,559,,0.006824,0,1,6.3
hao_cCD8-Proliferating_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,anthropic,CD8 Proliferating,Proliferating lymphocytes (cycling T/NK cells),0.6,"{""cell_type"": ""Proliferating lymphocytes (cycling T/NK cells)"", ""confidence"": 0.6}",ok,580,142,,0.00258,0,1,2.4
hao_cCD8-Proliferating_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,anthropic,CD8 Proliferating,"Proliferating lymphocytes (cycling T/NK cells, Ki-67+ cell-cycle/proliferation cluster)",0.6,"{""cell_type"": ""Proliferating lymphocytes (cycling T/NK cells, Ki-67+ cell-cycle/proliferation cluster)"", ""confidence"": 0.6}",ok,2785,632,,0.01189,1,2,9.0
hao_cTreg_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,anthropic,Treg,"Lymphocyte (likely resting T cell) - ribosomal protein-high cluster, possibly low-quality/high-RNA-content cells rather than a distinct lineage",0.35,"{""cell_type"": ""Lymphocyte (likely resting T cell) - ribosomal protein-high cluster, possibly low-quality/high-RNA-content cells rather than a distinct lineage"", ""confidence"": 0.35}",ok,578,78,,0.001936,0,1,2.2
hao_cTreg_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,anthropic,Treg,"Lymphocytes (likely naive T cells) — cluster marked mainly by ribosomal protein genes (RPL/RPS family), suggesting a high-ribosomal-content lymphocyte population rather than a distinct lineage",0.35,"{""cell_type"": ""Lymphocytes (likely naive T cells) — cluster marked mainly by ribosomal protein genes (RPL/RPS family), suggesting a high-ribosomal-content lymphocyte population rather than a distinct lineage"", ""confidence"": 0.35}",ok,617,593,,0.007164,0,1,6.7
hao_cCD8-TCM_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,anthropic,CD8 TCM,"T cell (naive CD4+ T lymphocyte, ribosomal-high resting T cell)",0.7,"{""cell_type"": ""T cell (naive CD4+ T lymphocyte, ribosomal-high resting T cell)"", ""confidence"": 0.7}",ok,579,53,,0.001688,0,1,1.8
hao_cCD8-TCM_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,anthropic,CD8 TCM,T cells (likely CD4+ naive/resting T lymphocytes),0.85,"Based on gene identities: ENSG00000109475 (RPL34), ENSG00000167526 (RPL21), ENSG00000177600 (RPL22L1), ENSG00000277734 (TRAC - T cell receptor alpha constant), ENSG00000172809 (RPL10-like), ENSG00000188846 (RPL14), ENSG00000144713 (RPL32), ENSG00000142541 (RPL13A), ENSG00000111716 (LDHB), ENSG00000198918 (RPL39) — this combination of ribosomal protein genes plus TRAC and LDHB (both classic markers enriched in T lymphocytes, especially naive/resting T cells) strongly indicates a T cell cluster.

```json
{""cell_type"": ""T cells (likely CD4+ naive/resting T lymphocytes)"", ""confidence"": 0.85}
```",ok,3916,806,,0.015892,2,2,17.1
hao_cB-intermediate_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,anthropic,B intermediate,B cell,0.9,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.9}
```",ok,598,29,,0.001486,0,1,1.5
hao_cB-intermediate_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,anthropic,B intermediate,B cell,0.85,"{""cell_type"": ""B cell"", ""confidence"": 0.85}",ok,617,477,,0.006004,0,1,5.3
