id,format,knob,level,replicate,run,provider,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,n_tool_calls,n_model_calls,latency_s
hao_cdnT_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,anthropic,dnT,Memory CD8+ T cell (GZMK+ effector/central memory CD8 T cell),0.7,"{""cell_type"": ""Memory CD8+ T cell (GZMK+ effector/central memory CD8 T cell)"", ""confidence"": 0.7}",ok,4349,333,,0.012028,1,2,5.3
hao_cCD4-TCM_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,anthropic,CD4 TCM,"T cell (CD3D+/MAL+, likely naive/resting CD4+ T lymphocyte)",0.7,"{""cell_type"": ""T cell (CD3D+/MAL+, likely naive/resting CD4+ T lymphocyte)"", ""confidence"": 0.7}",ok,4188,340,,0.011776,1,2,6.4
hao_cNK-Proliferating_n_genes_5_r0_symbol,symbol,n_genes,5,0,0,anthropic,NK Proliferating,"Proliferating cells / hematopoietic stem and progenitor cells (HSPCs) — a cycling cell cluster marked by cell-cycle/proliferation genes (STMN1, DEK, HMGB2, PTMA, HMGN2)",0.55,"{""cell_type"": ""Proliferating cells / hematopoietic stem and progenitor cells (HSPCs) — a cycling cell cluster marked by cell-cycle/proliferation genes (STMN1, DEK, HMGB2, PTMA, HMGN2)"", ""confidence"": 0.55}",ok,2272,528,,0.009824,1,2,7.0
hao_cCD4-TEM_noise_2_r2_ensembl,ensembl,noise,2,2,0,anthropic,CD4 TEM,Memory CD4+ T cell,0.75,"This confirms strong CD4+ T-cell identity, particularly memory CD4+ T cells (IL7R and IL32 both rank #1-2 for this cell type).

```json
{""cell_type"": ""Memory CD4+ T cell"", ""confidence"": 0.75}
```",ok,8582,643,,0.023594,2,3,10.1
hao_cMAIT_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,anthropic,MAIT,Mucosal-associated invariant T (MAIT) cell / GZMK+ CD8+ effector memory T cell,0.6,"{""cell_type"": ""Mucosal-associated invariant T (MAIT) cell / GZMK+ CD8+ effector memory T cell"", ""confidence"": 0.6}",ok,4608,411,,0.013326,1,2,5.2
hao_cdnT_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,anthropic,dnT,CD8+ memory/effector T cell (GZMK+ CD3+ T cell),0.75,"{""cell_type"": ""CD8+ memory/effector T cell (GZMK+ CD3+ T cell)"", ""confidence"": 0.75}",ok,4010,253,,0.01055,1,2,9.0
hao_cCD8-Proliferating_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,anthropic,CD8 Proliferating,"Proliferative lymphocyte (cycling T/NK or progenitor cells expressing proliferation markers such as STMN1, HMGB2, DEK, TUBA1B, PCNA)",0.7,"{""cell_type"": ""Proliferative lymphocyte (cycling T/NK or progenitor cells expressing proliferation markers such as STMN1, HMGB2, DEK, TUBA1B, PCNA)"", ""confidence"": 0.7}",ok,2542,299,,0.008074,1,2,8.2
hao_cCD8-Proliferating_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,anthropic,CD8 Proliferating,Proliferating T cells (cycling lymphocytes),0.6,"This gene signature (STMN1, HMGB2, DEK, TUBA1B, PCNA, DUT, HMGN2, PFN1, CFL1, GAPDH) is dominated by proliferation/cell-cycle markers (S-phase and mitosis-associated genes: PCNA, DUT, HMGB2, DEK, HMGN2) combined with cytoskeletal remodeling genes (STMN1, TUBA1B, PFN1, CFL1) typical of actively dividing lymphocytes. In PBMC scRNA-seq data, this profile is the classic signature of a proliferating lymphocyte cluster (commonly proliferating T cells or NK/T cells re-entering cycle), rather than a lineage-defining marker set.

```json
{""cell_type"": ""Proliferating T cells (cycling lymphocytes)"", ""confidence"": 0.6}
```",ok,4159,644,,0.014758,1,2,12.4
hao_cTreg_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,anthropic,Treg,"Naive/Memory T cell (lymphocyte cluster with high ribosomal protein expression, likely naive CD4+ T cell)",0.4,"{""cell_type"": ""Naive/Memory T cell (lymphocyte cluster with high ribosomal protein expression, likely naive CD4+ T cell)"", ""confidence"": 0.4}",ok,3109,258,,0.008798,1,2,8.0
hao_cTreg_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,anthropic,Treg,Naive CD4+ T cell (ribosomal-high naive/resting T lymphocyte population),0.5,"{""cell_type"": ""Naive CD4+ T cell (ribosomal-high naive/resting T lymphocyte population)"", ""confidence"": 0.5}",ok,8950,777,,0.02567,2,3,10.7
