id,format,knob,level,replicate,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,run,provider
pbmc_c0_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,CD8 T cells,Cytotoxic CD8+ T cell,0.87,"{""cell_type"":""Cytotoxic CD8+ T cell"",""confidence"":0.87}",stop,80,93,68,0.001276,0,openrouter
pbmc_c0_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,CD8 T cells,GZMK+ CD8 effector memory T cell,0.86,"{""cell_type"":""GZMK+ CD8 effector memory T cell"",""confidence"":0.86}",stop,82,121,93,0.001616,0,openrouter
pbmc_c0_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,CD8 T cells,Natural killer (NK) cell,0.86,"{""cell_type"":""Natural killer (NK) cell"",""confidence"":0.86}",stop,113,539,516,0.006694,0,openrouter
pbmc_c0_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,CD8 T cells,CD8+ cytotoxic T cell,0.97,"{""cell_type"":""CD8+ cytotoxic T cell"",""confidence"":0.97}",stop,83,73,49,0.001042,0,openrouter
pbmc_c0_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,CD8 T cells,CD8+ effector memory T cell,0.88,"{""cell_type"":""CD8+ effector memory T cell"",""confidence"":0.88}",stop,113,353,328,0.004462,0,openrouter
pbmc_c0_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,CD8 T cells,T cell,0.82,"{""cell_type"":""T cell"",""confidence"":0.82}",stop,86,193,174,0.002488,0,openrouter
pbmc_c0_n_genes_1_r0_symbol,symbol,n_genes,1,0,CD8 T cells,cytotoxic lymphocyte (NK/CD8 T cell),0.4,"{""cell_type"":""cytotoxic lymphocyte (NK/CD8 T cell)"",""confidence"":0.4}",stop,47,163,134,0.00205,0,openrouter
pbmc_c0_n_genes_3_r0_symbol,symbol,n_genes,3,0,CD8 T cells,NK cell,0.72,"{""cell_type"":""NK cell"",""confidence"":0.72}",stop,55,99,80,0.001298,0,openrouter
pbmc_c0_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,CD8 T cells,cytotoxic CD8 T cell,0.86,"{""cell_type"":""cytotoxic CD8 T cell"",""confidence"":0.86}",stop,113,909,885,0.011134,0,openrouter
pbmc_c0_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,CD8 T cells,NK cell,0.92,"{""cell_type"":""NK cell"",""confidence"":0.92}",stop,64,242,223,0.003032,0,openrouter
