id,format,truth,predicted,mapped_to,lenient,class,tools_used,truth_support,top_support,top_labels,gene_info_symbols_ok
hao_cdnT_rank_window_1-10_r0_symbol,symbol,dnT,Memory CD8+ T cell (GZMK+ effector/central memory CD8 T cell),CD8 TCM,0.0,truth_below_top,cellmarker_gene_to_cell_types,2,4,"CD8 T cell (subtype unclear), T cell (CD4/CD8/other unclear), CD4 T cell (subtype unclear)",
hao_cCD4-TCM_rank_window_31-40_r0_ensembl,ensembl,CD4 TCM,"T cell (CD3D+/MAL+, likely naive/resting CD4+ T lymphocyte)",CD4 Naive,0.5,no_cellmarker,gene_info,0,0,,True
hao_cNK-Proliferating_n_genes_5_r0_symbol,symbol,NK Proliferating,"Proliferating cells / hematopoietic stem and progenitor cells (HSPCs) — a cycling cell cluster marked by cell-cycle/proliferation genes (STMN1, DEK, HMGB2, PTMA, HMGN2)",HSPC,0.0,cellmarker_lacked,cellmarker_gene_to_cell_types,0,0,,
hao_cCD4-TEM_noise_2_r2_ensembl,ensembl,CD4 TEM,Memory CD4+ T cell,CD4 T cell (subtype unclear),0.5,truth_below_top,"gene_info,cellmarker_gene_to_cell_types",1,3,"CD4 T cell (subtype unclear), T cell (CD4/CD8/other unclear), CD4 Naive",True
hao_cdnT_rank_window_1-10_r0_ensembl,ensembl,dnT,CD8+ memory/effector T cell (GZMK+ CD3+ T cell),CD8 T cell (subtype unclear),0.0,no_cellmarker,gene_info,0,0,,True
hao_cCD8-Proliferating_rank_window_1-10_r0_symbol,symbol,CD8 Proliferating,"Proliferative lymphocyte (cycling T/NK or progenitor cells expressing proliferation markers such as STMN1, HMGB2, DEK, TUBA1B, PCNA)",Proliferating lymphocyte (lineage unclear),0.5,cellmarker_lacked,cellmarker_gene_to_cell_types,0,1,Proliferating lymphocyte (lineage unclear),
hao_cCD8-Proliferating_rank_window_1-10_r0_ensembl,ensembl,CD8 Proliferating,Proliferating T cells (cycling lymphocytes),Proliferating lymphocyte (lineage unclear),0.5,no_cellmarker,gene_info,0,0,,True
hao_cTreg_rank_window_1-10_r0_symbol,symbol,Treg,"Naive/Memory T cell (lymphocyte cluster with high ribosomal protein expression, likely naive CD4+ T cell)",CD4 Naive,0.5,cellmarker_lacked,cellmarker_gene_to_cell_types,0,7,"dnT, Plasmablast, T cell (CD4/CD8/other unclear)",
hao_cTreg_rank_window_1-10_r0_ensembl,ensembl,Treg,Naive CD4+ T cell (ribosomal-high naive/resting T lymphocyte population),CD4 Naive,0.5,cellmarker_lacked,"gene_info,cellmarker_gene_to_cell_types",0,7,"dnT, Plasmablast, T cell (CD4/CD8/other unclear)",True
hao_cCD8-TCM_rank_window_11-20_r0_symbol,symbol,CD8 TCM,Naive CD4+ T cell,CD4 Naive,0.0,cellmarker_lacked,cellmarker_gene_to_cell_types,0,2,"CD4 T cell (subtype unclear), CD8 T cell (subtype unclear), CD4 Naive",
hao_cCD8-TCM_rank_window_11-20_r0_ensembl,ensembl,CD8 TCM,T cell (likely naive CD4+ T cell),CD4 Naive,0.0,no_cellmarker,gene_info,0,0,,True
hao_cB-intermediate_rank_window_11-20_r0_symbol,symbol,B intermediate,B cell,B cell (subtype unclear),0.5,cellmarker_lacked,cellmarker_gene_to_cell_types,0,4,"B cell (subtype unclear), B memory, B naive",
hao_cB-intermediate_rank_window_11-20_r0_ensembl,ensembl,B intermediate,B cell,B cell (subtype unclear),0.5,cellmarker_lacked,"gene_info,cellmarker_gene_to_cell_types",0,5,"B cell (subtype unclear), Dendritic cell (subtype unclear), Treg",True
hao_cCD4-Proliferating_rank_window_11-20_r0_symbol,symbol,CD4 Proliferating,"Proliferating (cycling) lymphocytes, likely proliferative T cells",Proliferating lymphocyte (lineage unclear),0.5,truth_tied_top,cellmarker_gene_to_cell_types,2,2,"CD4 Proliferating, Proliferating lymphocyte (lineage unclear), NK Proliferating",
hao_cCD4-Proliferating_rank_window_11-20_r0_ensembl,ensembl,CD4 Proliferating,"Proliferating lymphocytes (cycling T/NK or plasmablast-like cells, likely proliferating T cells)",Proliferating lymphocyte (lineage unclear),0.5,no_cellmarker,gene_info,0,0,,True
hao_cgdT_rank_window_21-30_r0_symbol,symbol,gdT,NK cell / cytotoxic CD8+ T cell (cytotoxic lymphocyte),T cell (CD4/CD8/other unclear),0.5,truth_tied_top,cellmarker_gene_to_cell_types,5,5,"CD8 T cell (subtype unclear), T cell (CD4/CD8/other unclear), gdT",
hao_cgdT_rank_window_21-30_r0_ensembl,ensembl,gdT,Cytotoxic (CD8+/NK) lymphocyte population - likely Effector/Cytotoxic CD8+ T cell or NK cell,T cell (CD4/CD8/other unclear),0.5,truth_tied_top,"gene_info,cellmarker_gene_to_cell_types",5,5,"CD8 T cell (subtype unclear), T cell (CD4/CD8/other unclear), gdT",True
hao_cCD4-TCM_rank_window_31-40_r0_symbol,symbol,CD4 TCM,Naive CD4+ T cell,CD4 Naive,0.5,truth_below_top,cellmarker_gene_to_cell_types,1,2,"CD4 T cell (subtype unclear), T cell (CD4/CD8/other unclear), CD4 Naive",
hao_cCD8-Naive_rank_window_31-40_r0_symbol,symbol,CD8 Naive,Naive CD4+ T cell,CD4 Naive,0.0,truth_below_top,cellmarker_gene_to_cell_types,1,2,"CD8 T cell (subtype unclear), T cell (CD4/CD8/other unclear), CD8 Naive",
hao_cCD8-Naive_rank_window_31-40_r0_ensembl,ensembl,CD8 Naive,Naive T cell (CD4+ naive T cell),CD4 Naive,0.0,truth_tied_top,"gene_info,cellmarker_gene_to_cell_types",1,1,"CD8 Naive, CD4 T cell (subtype unclear), CD8 TCM",True
hao_cCD4-CTL_n_genes_1_r0_symbol,symbol,CD4 CTL,Cytotoxic/effector memory CD8+ T cell,CD8 TEM,0.0,truth_tied_top,cellmarker_gene_to_cell_types,1,1,"CD4 CTL, CD8 TEM, gdT",
hao_cCD4-CTL_n_genes_1_r0_ensembl,ensembl,CD4 CTL,Cytotoxic/Effector Memory CD8+ T cell,CD8 TEM,0.0,truth_tied_top,"gene_info,cellmarker_gene_to_cell_types",1,1,"CD4 CTL, CD8 TEM, gdT",True
hao_cB-memory_n_genes_3_r0_symbol,symbol,B memory,B cell,B cell (subtype unclear),0.5,truth_tied_top,cellmarker_gene_to_cell_types,3,3,"B naive, B memory, B cell (subtype unclear)",
hao_cB-memory_n_genes_3_r0_ensembl,ensembl,B memory,B cell,B cell (subtype unclear),0.5,no_cellmarker,gene_info,0,0,,True
hao_cNK-CD56bright_n_genes_3_r0_symbol,symbol,NK_CD56bright,Natural killer (NK) cell,NK,0.5,truth_tied_top,cellmarker_gene_to_cell_types,3,3,"CD8 TEM, gdT, CD8 T cell (subtype unclear)",
hao_cNK-CD56bright_n_genes_3_r0_ensembl,ensembl,NK_CD56bright,Natural killer (NK) cell,NK,0.5,no_cellmarker,gene_info,0,0,,True
