condition,id,format,knob,level,replicate,run,provider,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,marker_overlap,n_tied_labels,tied_labels,n_tool_calls,n_model_calls,latency_s,normalized,score,strict,lineage
plain Claude,hao_cASDC_noise_0_r0_symbol,symbol,noise,0,0,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,136,40,,0.000672,,,,,,,pDC,0.5,0.0,DC
plain Claude,hao_cASDC_noise_0_r0_ensembl,ensembl,noise,0,0,0,anthropic,ASDC,Plasmacytoid dendritic cells (pDCs),0.75,"{""cell_type"": ""Plasmacytoid dendritic cells (pDCs)"", ""confidence"": 0.75}",end_turn,170,456,,0.0049,,,,,,,pDC,0.5,0.0,DC
plain Claude,hao_cB-intermediate_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,anthropic,B intermediate,B cell,0.9,"{""cell_type"": ""B cell"", ""confidence"": 0.9}",end_turn,151,24,,0.000542,,,,,,,B cell (subtype unclear),0.5,0.0,B
plain Claude,hao_cB-intermediate_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,anthropic,B intermediate,B cell,0.8,"{""cell_type"": ""B cell"", ""confidence"": 0.8}",end_turn,170,455,,0.00489,,,,,,,B cell (subtype unclear),0.5,0.0,B
plain Claude,hao_cB-memory_n_genes_3_r0_symbol,symbol,n_genes,3,0,0,anthropic,B memory,B cells,0.95,"{""cell_type"": ""B cells"", ""confidence"": 0.95}",end_turn,96,24,,0.000432,,,,,,,B cell (subtype unclear),0.5,0.0,B
plain Claude,hao_cB-memory_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,0,anthropic,B memory,B cell,0.95,"{""cell_type"": ""B cell"", ""confidence"": 0.95}",end_turn,107,84,,0.001054,,,,,,,B cell (subtype unclear),0.5,0.0,B
plain Claude,hao_cB-memory_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,anthropic,B memory,B cell,0.97,"```json
{""cell_type"": ""B cell"", ""confidence"": 0.97}
```",end_turn,142,29,,0.000574,,,,,,,B cell (subtype unclear),0.5,0.0,B
plain Claude,hao_cB-memory_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,0,anthropic,B memory,B cells,0.97,"{""cell_type"": ""B cells"", ""confidence"": 0.97}",end_turn,170,272,,0.00306,,,,,,,B cell (subtype unclear),0.5,0.0,B
plain Claude,hao_cB-naive_noise_2_r1_symbol,symbol,noise,2,1,0,anthropic,B naive,Naive B cell,0.85,"```json
{""cell_type"": ""Naive B cell"", ""confidence"": 0.85}
```",end_turn,134,32,,0.000588,,,,,,,B naive,1.0,1.0,B
plain Claude,hao_cB-naive_noise_2_r1_ensembl,ensembl,noise,2,1,0,anthropic,B naive,Naive B cells,0.9,"{""cell_type"": ""Naive B cells"", ""confidence"": 0.9}",end_turn,170,298,,0.00332,,,,,,,B naive,1.0,1.0,B
plain Claude,hao_cB-naive_noise_4_r2_symbol,symbol,noise,4,2,0,anthropic,B naive,Naive B cell,0.8,"```json
{""cell_type"": ""Naive B cell"", ""confidence"": 0.8}
```",end_turn,137,32,,0.000594,,,,,,,B naive,1.0,1.0,B
plain Claude,hao_cB-naive_noise_4_r2_ensembl,ensembl,noise,4,2,0,anthropic,B naive,Naive B cells,0.9,"{""cell_type"": ""Naive B cells"", ""confidence"": 0.9}",end_turn,170,250,,0.00284,,,,,,,B naive,1.0,1.0,B
plain Claude,hao_cCD14-Mono_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,anthropic,CD14 Mono,"Monocyte (classical, CD14+)",0.75,"{""cell_type"": ""Monocyte (classical, CD14+)"", ""confidence"": 0.75}",end_turn,85,35,,0.00052,,,,,,,CD14 Mono,1.0,1.0,Mono
plain Claude,hao_cCD14-Mono_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,anthropic,CD14 Mono,Monocyte (myeloid/granulocyte lineage - S100A9 marker),0.6,"{""cell_type"": ""Monocyte (myeloid/granulocyte lineage - S100A9 marker)"", ""confidence"": 0.6}",end_turn,89,80,,0.000978,,,,,,,Monocyte (subtype unclear),0.5,0.0,Mono
plain Claude,hao_cCD14-Mono_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,0,anthropic,CD14 Mono,CD14+ classical monocyte,0.95,"{""cell_type"": ""CD14+ classical monocyte"", ""confidence"": 0.95}",end_turn,131,32,,0.000582,,,,,,,CD14 Mono,1.0,1.0,Mono
plain Claude,hao_cCD14-Mono_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,0,anthropic,CD14 Mono,CD14+ classical monocytes,0.9,"```json
{""cell_type"": ""CD14+ classical monocytes"", ""confidence"": 0.9}
```",end_turn,170,271,,0.00305,,,,,,,CD14 Mono,1.0,1.0,Mono
plain Claude,hao_cCD16-Mono_noise_0_r0_symbol,symbol,noise,0,0,0,anthropic,CD16 Mono,CD16+ (non-classical) monocyte,0.9,"{""cell_type"": ""CD16+ (non-classical) monocyte"", ""confidence"": 0.9}",end_turn,133,36,,0.000626,,,,,,,CD16 Mono,1.0,1.0,Mono
plain Claude,hao_cCD16-Mono_noise_0_r0_ensembl,ensembl,noise,0,0,0,anthropic,CD16 Mono,CD16+ non-classical monocytes,0.85,"{""cell_type"": ""CD16+ non-classical monocytes"", ""confidence"": 0.85}",end_turn,170,344,,0.00378,,,,,,,CD16 Mono,1.0,1.0,Mono
plain Claude,hao_cCD4-CTL_n_genes_1_r0_symbol,symbol,n_genes,1,0,0,anthropic,CD4 CTL,CD8+ cytotoxic T cell (effector/memory),0.65,"{""cell_type"": ""CD8+ cytotoxic T cell (effector/memory)"", ""confidence"": 0.65}",end_turn,85,42,,0.00059,,,,,,,CD8 TEM,0.0,0.0,CD4 T
plain Claude,hao_cCD4-CTL_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,0,anthropic,CD4 CTL,NK cells (or plasmacytoid dendritic cells) - cytotoxic GZMB-expressing lymphocytes,0.4,"{""cell_type"": ""NK cells (or plasmacytoid dendritic cells) - cytotoxic GZMB-expressing lymphocytes"", ""confidence"": 0.4}",end_turn,89,191,,0.002088,,,,,,,NK,0.0,0.0,CD4 T
plain Claude,hao_cCD4-CTL_noise_6_r2_symbol,symbol,noise,6,2,0,anthropic,CD4 CTL,T cell,0.75,"{""cell_type"": ""T cell"", ""confidence"": 0.75}",end_turn,135,24,,0.00051,,,,,,,T cell (CD4/CD8/other unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD4-CTL_noise_6_r2_ensembl,ensembl,noise,6,2,0,anthropic,CD4 CTL,T lymphocyte (CD3+ T cell),0.85,"{""cell_type"": ""T lymphocyte (CD3+ T cell)"", ""confidence"": 0.85}",end_turn,170,639,,0.00673,,,,,,,T cell (CD4/CD8/other unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD4-Naive_n_genes_10_r0_symbol,symbol,n_genes,10,0,0,anthropic,CD4 Naive,"Lymphocyte (likely resting T or B cell) - marker genes are predominantly ribosomal proteins, indicating a general high-translation/quiescent lymphocyte population rather than a specific lineage",0.3,"```json
{""cell_type"": ""Lymphocyte (likely resting T or B cell) - marker genes are predominantly ribosomal proteins, indicating a general high-translation/quiescent lymphocyte population rather than a specific lineage"", ""confidence"": 0.3}
```",end_turn,131,93,,0.001192,,,,,,,T cell (CD4/CD8/other unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD4-Naive_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,0,anthropic,CD4 Naive,"Lymphocyte (likely naive T cell) — marker set dominated by ribosomal protein genes (RPL/RPS), a nonspecific signature often enriched in resting lymphocyte populations in PBMCs",0.35,"{""cell_type"": ""Lymphocyte (likely naive T cell) — marker set dominated by ribosomal protein genes (RPL/RPS), a nonspecific signature often enriched in resting lymphocyte populations in PBMCs"", ""confidence"": 0.35}",end_turn,170,302,,0.00336,,,,,,,T cell (CD4/CD8/other unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD4-Naive_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,0,anthropic,CD4 Naive,"Lymphocyte (likely resting T or B cell) - ribosomal protein-high, non-specific signature",0.3,"```json
{""cell_type"": ""Lymphocyte (likely resting T or B cell) - ribosomal protein-high, non-specific signature"", ""confidence"": 0.3}
```",end_turn,131,61,,0.000872,,,,,,,Unknown / low-quality / no cell type given,0.0,0.0,CD4 T
plain Claude,hao_cCD4-Naive_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,0,anthropic,CD4 Naive,"Naive T lymphocytes (or naive B cells) — ribosomal protein gene-high cluster, likely representing high-translational-activity naive lymphocytes",0.35,"{""cell_type"": ""Naive T lymphocytes (or naive B cells) — ribosomal protein gene-high cluster, likely representing high-translational-activity naive lymphocytes"", ""confidence"": 0.35}",end_turn,170,239,,0.00273,,,,,,,T cell (CD4/CD8/other unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD4-Proliferating_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,anthropic,CD4 Proliferating,"Proliferating cells (likely proliferating T/lymphocytes, marked by cell cycle/proliferation genes such as TOP2A, TYMS, PTTG1)",0.6,"{""cell_type"": ""Proliferating cells (likely proliferating T/lymphocytes, marked by cell cycle/proliferation genes such as TOP2A, TYMS, PTTG1)"", ""confidence"": 0.6}",end_turn,133,78,,0.001046,,,,,,,Proliferating lymphocyte (lineage unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD4-Proliferating_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,anthropic,CD4 Proliferating,Proliferating lymphocytes (cycling T/NK cells),0.65,"{""cell_type"": ""Proliferating lymphocytes (cycling T/NK cells)"", ""confidence"": 0.65}",end_turn,170,489,,0.00523,,,,,,,Proliferating lymphocyte (lineage unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD4-TCM_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,0,anthropic,CD4 TCM,CD4+ naive T cell,0.7,"{""cell_type"": ""CD4+ naive T cell"", ""confidence"": 0.7}",end_turn,132,31,,0.000574,,,,,,,CD4 Naive,0.5,0.0,CD4 T
plain Claude,hao_cCD4-TCM_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,0,anthropic,CD4 TCM,T cells (CD3+ T lymphocytes),0.8,"```json
{""cell_type"": ""T cells (CD3+ T lymphocytes)"", ""confidence"": 0.8}
```",end_turn,170,402,,0.00436,,,,,,,T cell (CD4/CD8/other unclear),0.5,0.0,CD4 T
plain Claude,hao_cCD4-TCM_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,0,anthropic,CD4 TCM,CD4+ Naive/Memory T cell,0.85,"```json
{""cell_type"": ""CD4+ Naive/Memory T cell"", ""confidence"": 0.85}
```",end_turn,131,41,,0.000672,,,,,,,CD4 T cell (subtype unclear),0.5,0.0,CD4 T
