id,run,model,format,knob,level,replicate,provider,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,marker_overlap,n_tied_labels,tied_labels,normalized,score,strict,vague,label_source
hao_cASDC_n_genes_10_r0_ensembl,0,cellmarker-lookup,ensembl,n_genes,10,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cell,,0,0,0.0,0.0,4.0,1.0,"[""Dendritic cell (subtype unclear)""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_n_genes_10_r0_ensembl,0,claude-sonnet-5,ensembl,n_genes,10,0,anthropic,ASDC,Monocyte (myeloid) — likely CD14+/CD16+ monocyte or dendritic cell,0.5,"{""cell_type"": ""Monocyte (myeloid) — likely CD14+/CD16+ monocyte or dendritic cell"", ""confidence"": 0.5}",end_turn,170,704,,0.00738,,,,Monocyte (subtype unclear),0.0,0.0,1.0,judge
hao_cASDC_n_genes_10_r0_ensembl,0,gemini-3.8-flash,ensembl,n_genes,10,0,openrouter,ASDC,CD14+ monocytes,0.95,"```json
{""cell_type"": ""CD14+ monocytes"", ""confidence"": 0.95}
```",stop,185,1090,1064.0,0.00422625,,,,CD14 Mono,0.0,0.0,0.0,rule
hao_cASDC_n_genes_10_r0_ensembl,0,gpt-5.6-terra,ensembl,n_genes,10,0,openrouter,ASDC,monocyte,0.82,"{""cell_type"":""monocyte"",""confidence"":0.82}",stop,122,1444,1425.0,0.017572,,,,Monocyte (subtype unclear),0.0,0.0,1.0,rule
hao_cASDC_n_genes_10_r0_ensembl,0,panglaodb-lookup,ensembl,n_genes,10,0,none,ASDC,pDC,,Plasmacytoid dendritic cells,,0,0,0.0,0.0,2.0,1.0,"[""pDC""]",pDC,0.5,0.0,0.0,rule
hao_cASDC_n_genes_10_r0_symbol,0,cellmarker-lookup,symbol,n_genes,10,0,none,ASDC,Dendritic cell (subtype unclear),,Dendritic cell,,0,0,0.0,0.0,4.0,1.0,"[""Dendritic cell (subtype unclear)""]",Dendritic cell (subtype unclear),0.5,0.0,1.0,rule
hao_cASDC_n_genes_10_r0_symbol,0,claude-sonnet-5,symbol,n_genes,10,0,anthropic,ASDC,Plasmacytoid dendritic cell (pDC),0.9,"{""cell_type"": ""Plasmacytoid dendritic cell (pDC)"", ""confidence"": 0.9}",end_turn,136,40,,0.000672,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_n_genes_10_r0_symbol,0,gemini-3.8-flash,symbol,n_genes,10,0,openrouter,ASDC,plasmacytoid dendritic cell,0.98,"```json
{
  ""cell_type"": ""plasmacytoid dendritic cell"",
  ""confidence"": 0.98
}
```",stop,91,254,221.0,0.00102075,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_n_genes_10_r0_symbol,0,gpt-5.6-terra,symbol,n_genes,10,0,openrouter,ASDC,Plasmacytoid dendritic cell (pDC),0.98,"{""cell_type"":""Plasmacytoid dendritic cell (pDC)"",""confidence"":0.98}",stop,94,67,38.0,0.000992,,,,pDC,0.5,0.0,0.0,rule
hao_cASDC_n_genes_10_r0_symbol,0,panglaodb-lookup,symbol,n_genes,10,0,none,ASDC,pDC,,Plasmacytoid dendritic cells,,0,0,0.0,0.0,2.0,1.0,"[""pDC""]",pDC,0.5,0.0,0.0,rule
hao_cASDC_n_genes_1_r0_ensembl,0,cellmarker-lookup,ensembl,n_genes,1,0,none,ASDC,ASDC,,AXL+ SIGLEC6+ dendritic cell,,0,0,0.0,0.0,1.0,1.0,"[""ASDC""]",ASDC,1.0,1.0,0.0,rule
hao_cASDC_n_genes_1_r0_ensembl,0,claude-sonnet-5,ensembl,n_genes,1,0,anthropic,ASDC,Monocyte,0.3,"{""cell_type"": ""Monocyte"", ""confidence"": 0.3}",end_turn,89,26,,0.000438,,,,Monocyte (subtype unclear),0.0,0.0,1.0,rule
hao_cASDC_n_genes_1_r0_ensembl,0,gemini-3.8-flash,ensembl,n_genes,1,0,openrouter,ASDC,T cell,0.7,"```json
{""cell_type"": ""T cell"", ""confidence"": 0.7}
```",stop,59,3860,3838.0,0.01451925,,,,T cell (CD4/CD8/other unclear),0.0,0.0,1.0,rule
hao_cASDC_n_genes_1_r0_ensembl,0,gpt-5.6-terra,ensembl,n_genes,1,0,openrouter,ASDC,unknown,0.05,"{""cell_type"":""unknown"",""confidence"":0.05}",stop,59,876,858.0,0.01063,,,,Unknown / low-quality / no cell type given,0.0,0.0,0.0,rule
