id,format,knob,level,replicate,run,provider,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,n_tool_calls,n_model_calls,latency_s
hao_cdnT_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,anthropic,dnT,Memory CD8+ T cell (GZMK+ effector memory CD8 T cell),0.72,"{""cell_type"": ""Memory CD8+ T cell (GZMK+ effector memory CD8 T cell)"", ""confidence"": 0.72}",ok,4668,189,,0.011226,1,2,6.0
hao_cdnT_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,anthropic,dnT,Memory CD8+ T cell (effector memory/GZMK+ CD8 T cell),0.72,"{""cell_type"": ""Memory CD8+ T cell (effector memory/GZMK+ CD8 T cell)"", ""confidence"": 0.72}",ok,9592,507,,0.024254,2,3,11.8
hao_cCD8-Proliferating_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,anthropic,CD8 Proliferating,Proliferating lymphocyte (cycling T/NK or B cell population),0.75,"{""cell_type"": ""Proliferating lymphocyte (cycling T/NK or B cell population)"", ""confidence"": 0.75}",ok,4385,340,,0.01217,2,3,7.8
hao_cCD8-Proliferating_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,anthropic,CD8 Proliferating,Proliferating lymphocytes (cycling T/NK or plasmablast-like cells),0.6,"Based on the gene set—STMN1, HMGB2, DEK, TUBA1B, PCNA, DUT, HMGN2, PFN1, CFL1 (with GAPDH as a housekeeping gene)—this is a strong signature of active cell-cycle/proliferation genes (mitotic spindle regulation, chromatin remodeling, DNA replication), matching the ""Proliferative lymphocyte"" marker set in CellMarker (which includes TUBA1B).

```json
{""cell_type"": ""Proliferating lymphocytes (cycling T/NK or plasmablast-like cells)"", ""confidence"": 0.6}
```",ok,11736,830,,0.031772,3,4,15.0
hao_cTreg_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,0,anthropic,Treg,T cell (likely naive/memory CD4+ or double-negative T cell),0.45,"Based on the marker genes, this cluster is dominated by ribosomal protein genes (RPL/RPS family), which are enriched in lymphocyte populations with high protein synthesis activity — most consistently associated with T cell subsets (Double-negative T cell, Memory CD4 T cell, Naive T cell) in the CellMarker database, rather than myeloid or B/plasma cell lineages.

```json
{""cell_type"": ""T cell (likely naive/memory CD4+ or double-negative T cell)"", ""confidence"": 0.45}
```",ok,3142,358,,0.009864,1,2,4.8
hao_cTreg_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,0,anthropic,Treg,Naive CD4+ T cell,0.35,"{""cell_type"": ""Naive CD4+ T cell"", ""confidence"": 0.35}",ok,5461,528,,0.016202,2,2,9.5
hao_cCD8-TCM_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,anthropic,CD8 TCM,CD4 T cell (likely naive),0.65,"```json
{""cell_type"": ""CD4 T cell (likely naive)"", ""confidence"": 0.65}
```",ok,2658,199,,0.007306,1,2,5.0
hao_cCD8-TCM_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,anthropic,CD8 TCM,Naive T cell (TRAC+/LDHB+ CD4/CD8 T lymphocyte cluster with high ribosomal protein expression),0.65,"```json
{""cell_type"": ""Naive T cell (TRAC+/LDHB+ CD4/CD8 T lymphocyte cluster with high ribosomal protein expression)"", ""confidence"": 0.65}
```",ok,8291,675,,0.023332,2,3,11.4
hao_cB-intermediate_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,0,anthropic,B intermediate,B cell,0.85,"{""cell_type"": ""B cell"", ""confidence"": 0.85}",ok,3354,265,,0.009358,1,2,3.8
hao_cB-intermediate_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,0,anthropic,B intermediate,B cell,0.9,"{""cell_type"": ""B cell"", ""confidence"": 0.9}",ok,8545,567,,0.02276,2,3,9.6
